# timestamp tx ty tz qx qy qz qw
1698132949.0120099 11775871.392543076 2472166.854529377 -27.909805297851562 0 0 0 1
1698132949.030774 11775871.39180624 2472166.8550363095 -27.909591674804688 0 0 0 1
1698132949.0503092 11775871.390981825 2472166.8556211125 -27.909812927246094 0 0 0 1
1698132949.0710974 11775871.385329142 2472166.859981391 -27.909624099731445 0 0 0 1
1698132949.0906167 11775871.38457299 2472166.8604574865 -27.909818649291992 0 0 0 1
1698132949.1134365 11775871.38388336 2472166.8608573023 -27.90964698791504 0 0 0 1
1698132949.1311424 11775871.38319276 2472166.861261457 -27.909467697143555 0 0 0 1
1698132949.1506064 11775871.38247461 2472166.861708883 -27.90961456298828 0 0 0 1
1698132949.1711078 11775871.381762391 2472166.862182879 -27.909648895263672 0 0 0 1
1698132949.1905937 11775871.381118149 2472166.862369309 -27.909822463989258 0 0 0 1
1698132949.2119563 11775871.380482597 2472166.862554214 -27.90964126586914 0 0 0 1
1698132949.2304363 11775871.379835397 2472166.8627520883 -27.90945816040039 0 0 0 1
1698132949.251033 11775871.379141795 2472166.8629780663 -27.909656524658203 0 0 0 1
1698132949.2703815 11775871.378399957 2472166.8632568927 -27.90947723388672 0 0 0 1
1698132949.2909703 11775871.377624001 2472166.8635857683 -27.909595489501953 0 0 0 1
1698132949.3133938 11775871.376862558 2472166.8639046806 -27.909427642822266 0 0 0 1
1698132949.3307543 11775871.37618103 2472166.864123178 -27.909259796142578 0 0 0 1
1698132949.3503807 11775871.375581814 2472166.864209389 -27.909452438354492 0 0 0 1
1698132949.370812 11775871.37507011 2472166.864247264 -27.90807342529297 0 0 0 1
1698132949.3903003 11775871.374944039 2472166.864351382 -27.908245086669922 0 0 0 1
1698132949.41198 11775871.374737902 2472166.864586984 -27.908079147338867 0 0 0 1
1698132949.4306104 11775871.373117596 2472166.866250001 -27.90791130065918 0 0 0 1
1698132949.451219 11775871.372839028 2472166.866612024 -27.908018112182617 0 0 0 1
1698132949.4707608 11775871.372590885 2472166.8668911783 -27.907861709594727 0 0 0 1
1698132949.490201 11775871.372412901 2472166.867053209 -27.908050537109375 0 0 0 1
1698132949.5138156 11775871.372283962 2472166.8671553605 -27.907909393310547 0 0 0 1
1698132949.5302458 11775871.372144815 2472166.867279666 -27.907760620117188 0 0 0 1
1698132949.5505452 11775871.371940946 2472166.867488701 -27.90789794921875 0 0 0 1
1698132949.5710185 11775871.371768571 2472166.8677326497 -27.90665626525879 0 0 0 1
1698132949.590565 11775871.371675247 2472166.86794677 -27.90680694580078 0 0 0 1
1698132949.612252 11775871.371613657 2472166.868113095 -27.906665802001953 0 0 0 1
1698132949.6308825 11775871.371600997 2472166.8682006258 -27.90652847290039 0 0 0 1
1698132949.651211 11775871.371608902 2472166.8682422875 -27.90668487548828 0 0 0 1
1698132949.6705627 11775871.37159245 2472166.8683079234 -27.906551361083984 0 0 0 1
1698132949.6910732 11775871.371537639 2472166.8684401507 -27.906646728515625 0 0 0 1
1698132949.713677 11775871.371452047 2472166.8686311594 -27.906509399414062 0 0 0 1
1698132949.7310655 11775871.371356746 2472166.868831015 -27.90637969970703 0 0 0 1
1698132949.7505674 11775871.37128316 2472166.868979492 -27.906579971313477 0 0 0 1
1698132949.7710917 11775871.371313108 2472166.8690384883 -27.90517234802246 0 0 0 1
1698132949.7905512 11775871.372193713 2472166.868512578 -27.90530776977539 0 0 0 1
1698132949.8122184 11775871.373063704 2472166.8680060813 -27.905183792114258 0 0 0 1
1698132949.830669 11775871.373889824 2472166.86756052 -27.90505027770996 0 0 0 1
1698132949.850237 11775871.374674883 2472166.867171648 -27.905149459838867 0 0 0 1
1698132949.8708076 11775871.37544878 2472166.8667947385 -27.905019760131836 0 0 0 1
1698132949.8912375 11775871.376250181 2472166.866377465 -27.905200958251953 0 0 0 1
1698132949.9141333 11775871.377090618 2472166.865895156 -27.905078887939453 0 0 0 1
1698132949.9306242 11775871.377954826 2472166.865369011 -27.904956817626953 0 0 0 1
